,0
累积净值,6.52
年化收益,232.10%
最大回撤,-23.95%
最大回撤开始时间,2021-05-08 12:00:00
最大回撤结束时间,2021-05-30 00:00:00
年化收益/回撤比,9.69
盈利周期数,858.0
亏损周期数,283.0
胜率,75.20%
每周期平均收益,0.18%
盈亏收益比,0.47
单周期最大盈利,20.16%
单周期大亏损,-12.81%
最大连续盈利周期数,23.0
最大连续亏损周期数,4.0
