time,open,high,low,close,symbol,涨跌幅,上涨,下跌,ApzUpper_2,Atr_2,Lcsd_2,KcUpper_2,Bias_2,Dc_2,Sgcz_2,上涨数量,下跌数量,上涨比例,rank_Dc_2,rank_Sgcz_2,rank_sum,rank
2022-01-01 11:59:00,13.529000000000002,14.25,12.713,12.936,ANT-USDT,-0.0443262411347517,0,1,0.9999999961044825,0.13935478996675732,-0.04113899155105888,,-0.022665457842248493,0.17175950621047012,-0.08894992598848514,118,23,0.8368794326241135,1.0,1.0,2.0,1.0
2022-01-02 11:59:00,2.5807,2.5997,2.4604,2.4625,FTM-USDT,-0.04561661886675461,0,1,0.0,0.0851329644833125,-0.024772394631879597,,-0.023340670672457375,0.12276726478453466,-0.050785390572283616,59,82,0.41843971631205673,5.0,6.0,11.0,1.0
2022-01-02 23:59:00,0.9028,0.9174,0.865,0.875,CHR-USDT,-0.03100775193798455,0,1,0.0,0.07176602924634418,-0.02774566441912529,,-0.015748031496062964,0.11557104732857684,-0.07333862776448372,104,37,0.7375886524822695,6.0,1.0,7.0,1.0
2022-01-03 11:59:00,0.39536,0.4132,0.37658,0.37954,CVC-USDT,-0.039941314850884146,0,1,0.9999997914863629,0.1163033799217933,-0.028825215656030037,,-0.0203776117284189,0.13756352081504458,-0.10211613058477817,74,67,0.524822695035461,4.0,1.0,5.0,1.0
2022-01-03 23:59:00,13.268,13.27,11.6,11.969,ANT-USDT,-0.09736048265460029,0,1,0.9999999977273931,0.1162551032541916,-0.08745689647633026,,-0.05117127115620912,0.18039215686274515,-0.11895472939348208,27,114,0.19148936170212766,2.0,1.0,3.0,1.0
2022-01-04 11:59:00,8.521,8.783,8.1,8.686,SUSHI-USDT,0.019363924422016066,1,0,0.0,0.09478700528854539,-0.06216049375041901,,0.00958912070668938,0.14687714481811948,-0.04376066489375139,112,29,0.7943262411347518,6.0,4.0,10.0,1.0
2022-01-04 23:59:00,12.084,12.25,11.005999999999998,11.048,ANT-USDT,-0.08573320092684533,0,1,0.0,0.09156147328376285,-0.05088133740606825,,-0.044786443022652556,0.1250425894378196,-0.10629347993343029,18,123,0.1276595744680851,14.0,1.0,15.0,1.0
2022-01-07 23:59:00,10.078,10.35,9.1,9.313,ANT-USDT,-0.07599960313523169,0,1,0.0,0.1382528877887789,-0.06549450542253371,,-0.039500825082508295,0.1927411747182365,-0.1292599690250478,20,122,0.14084507042253522,3.0,2.0,5.0,1.0
2022-01-08 11:59:00,38.573,40.342,37.842,38.114,ATOM-USDT,-0.011976358357528083,0,1,0.0,0.1064936758377885,-0.013292109293036472,,-0.00602425348806912,0.15048508100975053,-0.09620355218130863,120,22,0.8450704225352113,5.0,1.0,6.0,1.0
2022-01-09 11:59:00,8.079,8.42,7.822,8.162,ANT-USDT,0.010398613518197708,1,0,0.0,0.16668719211822658,-0.03809767318064743,,0.005172413793103514,0.238588155438656,-0.10866004137964384,127,15,0.8943661971830986,2.0,1.0,3.0,1.0
