time,open,high,low,close,symbol,volume,quote_volume,ÕÇµø·ù,Õñ·ù,ÉÏÕÇ,ÏÂµø,Dc_2,ApzUpper_2,Turtle_2,ÉÏÕÇÊýÁ¿,ÏÂµøÊýÁ¿,ÉÏÕÇ±ÈÀý,rank_Dc_2,rank_ÕÇµø·ù,rank_Õñ·ù,rank_sum,rank
2021-07-19 23:59:00,0.1773,0.1793,0.1529,0.1607,TLM-USDT,400481906.0,64915852.1832,-0.09362662154540324,0.14890016920473761,0,1,0.32116387592643425,0.0,-0.8019319797430052,5,110,0.043478260869565216,2.0,2.0,2.0,6.0,1.0
2021-07-22 11:59:00,0.1764,0.197,0.1713,0.1771,TLM-USDT,905402498.0,166943289.7522,0.0028312570781428015,0.14569160997732428,1,0,0.25464949928469244,0.9999991177457269,0.012254898957132618,63,52,0.5478260869565217,2.0,61.0,5.0,68.0,1.0
2021-07-26 23:59:00,0.3242,0.326,0.2625,0.2744,TLM-USDT,979032020.0,285735087.3512,-0.15308641975308657,0.1958667489204195,0,1,0.3391331857007275,0.0,-1.1046768141031602,3,112,0.02608695652173913,1.0,1.0,1.0,3.0,1.0
2021-07-28 23:59:00,0.3062,0.3198,0.285,0.2943,TLM-USDT,487098532.0,146510509.8054,-0.0388634879163946,0.11365120836054864,0,1,0.1904761904761905,0.0,-0.6329783867136257,25,91,0.21551724137931033,6.0,6.0,6.0,18.0,1.0
2021-08-06 23:59:00,0.2983,0.3107,0.2865,0.2897,TLM-USDT,462695157.0,138324894.0362,-0.028504359490274966,0.08112638283607107,0,1,0.14683019519778887,0.0,0.0,102,15,0.8717948717948718,8.0,2.0,27.0,37.0,1.0
2021-08-18 11:59:00,0.2768,0.2833,0.2367,0.2557,TLM-USDT,633080302.0,165364727.4453,-0.07622832369942201,0.16835260115606937,0,1,0.2813577781811581,0.0,-0.5926964627257125,14,106,0.11666666666666667,3.0,5.0,7.0,15.0,1.0
2021-09-07 23:59:00,0.3004,0.3064,0.1785,0.2341,TLM-USDT,1119657016.0,276592250.5855,-0.22018654230513002,0.42576564580559256,0,1,0.5989010989010989,0.9999999855023242,-1.7721174873679664,1,125,0.007936507936507936,6.0,5.0,5.0,16.0,1.0
2021-09-08 11:59:00,0.234,0.2428,0.1965,0.2178,TLM-USDT,639277675.0,141018178.3298,-0.0696283639470312,0.19786324786324777,0,1,0.5275314497834606,0.0,-0.17194091013281546,18,109,0.14173228346456693,7.0,8.0,11.0,26.0,1.0
2021-10-29 23:59:00,0.2206,0.2371,0.2081,0.2151,TLM-USDT,684239855.0,150525973.7034,-0.024932003626473187,0.1314596554850408,0,1,0.2618650131170999,0.9999998421608196,0.0,119,17,0.875,3.0,3.0,6.0,12.0,1.0
2021-11-21 23:59:00,0.4251,0.467,0.335,0.3404,TLM-USDT,2042798913.0,834263514.1372,-0.19924723594448368,0.310515172900494,0,1,0.35531458832429713,0.999999984343916,0.0,58,79,0.4233576642335766,1.0,2.0,2.0,5.0,1.0
2021-11-26 11:59:00,0.4848,0.545,0.3633,0.4029,TLM-USDT,1096115844.0,487592673.9645,-0.16910703237780988,0.37479372937293737,0,1,0.40008807662666523,0.9999999882421723,-1.0556742921468323,9,128,0.06569343065693431,3.0,5.0,3.0,11.0,1.0
2021-11-29 11:59:00,0.4125,0.4373,0.3834,0.3879,TLM-USDT,591944123.0,244398307.0837,-0.05940834141610074,0.13066666666666668,0,1,0.2169835234474018,0.0,0.0,45,92,0.3284671532846715,3.0,1.0,5.0,9.0,1.0
2021-02-24 23:59:00,2.517,2.69,2.0089,2.1198,TOMO-USDT,23632735.0,54970853.9207,-0.15693604836143815,0.2705999205403257,0,1,0.2898976356168464,0.999999952916393,0.0,18,73,0.1978021978021978,7.0,1.0,3.0,11.0,1.0
2021-03-04 11:59:00,2.0418,2.1142,1.8662,1.8903,TOMO-USDT,9149291.0,17934165.9385,-0.07415389136503892,0.1214614555784111,0,1,0.20328784268418895,0.0,0.0,27,65,0.29347826086956524,8.0,2.0,17.0,27.0,1.0
