time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,上涨,下跌,Lcsd_2,上涨数量,下跌数量,上涨比例,rank_Lcsd_2,rank_sum,rank
2021-01-01 11:59:00,1.3658,1.4033,1.1222,1.1734,1INCH-USDT,25403471.0,31517115.0848,-0.14200058496636436,0,1,-0.13215113052797056,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-01 23:59:00,164.06,168.99,130.04,135.79,XMR-USDT,956884.799,136789222.67637,-0.17226455348978975,0,1,-0.15287603813035378,22,56,0.28205128205128205,1.0,1.0,1.0
2021-01-02 11:59:00,0.0056799999999999,0.007899,0.00555,0.007256,DOGE-USDT,27285617873.0,188471143.538293,0.27746478873241687,1,0,-0.1654051073781759,23,55,0.2948717948717949,1.0,1.0,1.0
2021-01-02 23:59:00,0.0072569999999999,0.0140759999999999,0.00677,0.010542,DOGE-USDT,71624192042.0,720549836.394982,0.4528665931642777,1,0,-0.3144751632567752,39,39,0.5,1.0,1.0,1.0
2021-01-03 11:59:00,0.010543,0.0133879999999999,0.009331,0.013102,DOGE-USDT,30310178585.0,343299156.558441,0.24283817112502382,1,0,-0.2669593109427595,57,21,0.7307692307692307,1.0,1.0,1.0
2021-01-03 23:59:00,0.01311,0.014,0.009403,0.009877,DOGE-USDT,28659713680.0,333463196.059425,-0.24614562662188977,0,1,-0.22189703084437853,67,11,0.8589743589743589,1.0,1.0,1.0
2021-01-04 11:59:00,0.009878,0.011554,0.0077,0.008864,DOGE-USDT,15408901674.0,148546439.834962,-0.10256150653032292,0,1,-0.21694777019770106,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-05 11:59:00,2.4803,2.5012,2.0527,2.3778,SOL-USDT,16298476.0,37121283.8405,-0.04244523195876282,0,1,-0.1840502743506101,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-05 23:59:00,1.11431,1.24663,0.8595,0.91368,CTK-USDT,41097528.0,43046810.24487,-0.1800412815220318,0,1,-0.17974403513968507,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-06 23:59:00,0.31188,0.395,0.2707199999999999,0.34295,XLM-USDT,4790473597.0,1557211899.98241,0.09919871794871793,1,0,-0.20964464355627083,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-07 11:59:00,0.2491,0.3657,0.2456,0.3614,XRP-USDT,3757550757.2,1127804653.06687,0.45198875050220977,1,0,-0.24246741683764575,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-07 23:59:00,0.13695,0.2074099999999999,0.13617,0.20148,CVC-USDT,414077148.0,65986738.24852,0.4731300723842946,1,0,-0.2420136416234381,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-08 11:59:00,1.2983,1.3458,0.99,1.3012,1INCH-USDT,24718926.0,30429255.3787,0.002002156168181113,1,0,-0.3130302998683809,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-08 23:59:00,0.0066739999999999,0.009318,0.006645,0.008609,IOST-USDT,9571822636.0,79695975.546073,0.28993107581662114,1,0,-0.1499621520509303,26,52,0.3333333333333333,1.0,1.0,1.0
