time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,上涨,下跌,EnvSignal_2,上涨数量,下跌数量,上涨比例,rank_EnvSignal_2,rank_sum,rank
2021-01-01 11:59:00,1.3658,1.4033,1.1222,1.1734,1INCH-USDT,25403471.0,31517115.0848,-0.14200058496636436,0,1,-0.26426603699330903,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-01 23:59:00,164.06,168.99,130.04,135.79,XMR-USDT,956884.799,136789222.67637,-0.17226455348978975,0,1,-0.44250266808964506,22,56,0.28205128205128205,1.0,1.0,1.0
2021-01-02 11:59:00,90.94,92.2,82.60700000000001,83.822,AAVE-USDT,170357.0,14748552.2742,-0.07795707795707796,0,1,0.09440511414688893,23,55,0.2948717948717949,1.0,1.0,1.0
2021-01-02 23:59:00,0.4541,0.4568,0.3892,0.408,ALGO-USDT,90397594.1,37934537.4586,-0.10171730515191546,0,1,-0.03583855254001435,39,39,0.5,1.0,1.0,1.0
2021-01-03 11:59:00,2.3947,2.4242,2.1404,2.2144,THETA-USDT,22248353.9,51429294.85349,-0.07529126821731325,0,1,0.10881733961077038,57,21,0.7307692307692307,1.0,1.0,1.0
2021-01-03 23:59:00,0.01311,0.014,0.009403,0.009877,DOGE-USDT,28659713680.0,333463196.059425,-0.24614562662188977,0,1,-0.9034553287784497,67,11,0.8589743589743589,1.0,1.0,1.0
2021-01-04 11:59:00,0.026309,0.027295,0.02128,0.023285,VET-USDT,2684203135.0,65625454.258852,-0.11487436803892503,0,1,-0.10937247943216753,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-05 11:59:00,0.0309699999999999,0.03125,0.02677,0.02853,TRX-USDT,5545889915.0,156376329.73097,-0.07878592185986144,0,1,0.08991596638657004,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-05 23:59:00,1.11431,1.24663,0.8595,0.91368,CTK-USDT,41097528.0,43046810.24487,-0.1800412815220318,0,1,-0.48926024911487964,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-06 23:59:00,13.274,13.29,11.508,12.164,SNX-USDT,2389043.2,29358273.8151,-0.08334589299171058,0,1,0.06514901313202841,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-07 11:59:00,1.5992,1.6285,1.4341,1.4795,RUNE-USDT,5546697.0,8429942.8828,-0.07398134818802016,0,1,0.115884570388668,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-07 23:59:00,0.40378,0.40709,0.31375,0.34643,GRT-USDT,134588562.0,49213427.21205,-0.14222398296481542,0,1,-0.26556044248966604,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-08 11:59:00,0.2023,0.215,0.1587599999999999,0.18132,CVC-USDT,478304500.0,89440205.64739001,-0.10005955926146504,0,1,-0.02664576802507746,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-08 23:59:00,0.4354,0.4574899999999999,0.36039,0.38525,ALPHA-USDT,53206783.0,21488946.53228,-0.11459171244053235,0,1,-0.10778194938807238,26,52,0.3333333333333333,1.0,1.0,1.0
2021-01-09 11:59:00,0.16519,0.17599,0.1461,0.1521799999999999,CVC-USDT,83282782.0,12953411.91061,-0.078367248062016,0,1,0.09218405294673497,70,8,0.8974358974358975,1.0,1.0,1.0
2021-01-09 23:59:00,26.323,26.648000000000003,23.743,23.97,TRB-USDT,393744.9,9880035.7463,-0.08911267338020146,0,1,0.033658148553250375,58,20,0.7435897435897436,1.0,1.0,1.0
2021-01-10 11:59:00,0.03348,0.03477,0.0294399999999999,0.03007,MATIC-USDT,265208165.0,8747505.24618,-0.10158350761876311,0,1,-0.03509600251809681,13,65,0.16666666666666666,1.0,1.0,1.0
2021-01-10 23:59:00,1657.42,1782.98,1425.0,1487.07,MKR-USDT,65685.192,107134047.92587,-0.10201086956521743,0,1,-0.037468144202959165,37,41,0.47435897435897434,1.0,1.0,1.0
2021-01-11 23:59:00,97.27,102.3,77.64,88.2,ZEC-USDT,1660174.865,147078907.87881,-0.09333881578947367,0,1,0.010459348716843694,39,39,0.5,1.0,1.0,1.0
2021-01-12 11:59:00,0.4992899999999999,0.5170600000000001,0.47384,0.47948,AXS-USDT,5173352.0,2561515.8013,-0.03944547949596322,0,1,0.2988044755530584,56,23,0.7088607594936709,1.0,1.0,1.0
2021-01-12 23:59:00,0.039534,0.041368,0.035618,0.036618,RSR-USDT,848713627.0,32588631.969005,-0.0737592957960237,0,1,0.11708162622124255,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-13 11:59:00,27.102,27.128,24.121,24.913,ZEN-USDT,832973.1,21035222.5654,-0.0807689469411852,0,1,0.07915985773334709,71,8,0.8987341772151899,1.0,1.0,1.0
2021-01-14 11:59:00,0.17031,0.17362,0.15738,0.16147,CVC-USDT,52404822.0,8512459.777520001,-0.05067905226644709,0,1,0.24001688985402572,45,34,0.569620253164557,1.0,1.0,1.0
2021-01-14 23:59:00,15.862,15.864,14.105,14.73,SNX-USDT,1802655.4,26991041.9026,-0.07101412714429867,0,1,0.13185771267900395,51,28,0.6455696202531646,1.0,1.0,1.0
2021-01-15 11:59:00,88.735,89.529,80.483,82.165,KSM-USDT,179066.0,15141716.0942,-0.0748643231922893,0,1,0.11112183367548166,54,25,0.6835443037974683,1.0,1.0,1.0
2021-01-15 23:59:00,0.4883699999999999,0.49461,0.3860699999999999,0.43755,ALPHA-USDT,41132579.0,18057826.11903,-0.10406044597333974,0,1,-0.04885951270087979,17,62,0.21518987341772153,1.0,1.0,1.0
2021-01-16 23:59:00,0.023949,0.024016,0.019634,0.020824,IOST-USDT,3820540584.0,82264136.771884,-0.13106613811808898,0,1,-0.2012882627430829,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-17 11:59:00,0.02083,0.020838,0.0167539999999999,0.0185,IOST-USDT,4638857242.0,84457964.121291,-0.11160199769496737,0,1,-0.0909876919947102,28,51,0.35443037974683544,1.0,1.0,1.0
2021-01-17 23:59:00,2.6358,2.7325,2.4964,2.5074,NEAR-USDT,6874878.0,18017713.6916,-0.048063781321184496,0,1,0.2537635663437989,66,13,0.8354430379746836,1.0,1.0,1.0
2021-01-18 11:59:00,1.69,1.781,1.471,1.505,CRV-USDT,43753939.3,70517581.6277,-0.10999408633944407,0,1,-0.08197747183979769,55,24,0.6962025316455697,1.0,1.0,1.0
2021-01-18 23:59:00,0.60548,0.6190100000000001,0.5563899999999999,0.5775,OCEAN-USDT,11511910.0,6655978.24096,-0.046778027201901384,0,1,0.26050839150202104,44,35,0.5569620253164557,1.0,1.0,1.0
2021-01-19 11:59:00,0.61934,0.64918,0.525,0.5622699999999999,GRT-USDT,163554687.0,93259549.00316,-0.09148637076055521,0,1,0.020640726065902695,46,34,0.575,1.0,1.0,1.0
2021-01-22 23:59:00,0.66057,0.68958,0.63126,0.6363300000000001,REN-USDT,16366077.0,10879120.52916,-0.03665183032064667,0,1,0.3133197621966752,64,17,0.7901234567901234,1.0,1.0,1.0
