time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,上涨,下跌,Turtle_2,上涨数量,下跌数量,上涨比例,rank_Turtle_2,rank_sum,rank
2021-01-01 11:59:00,2.4737,2.6828,2.4401,2.6708,OMG-USDT,3326138.2,8548956.19084,0.07932915740553637,1,0,11.615377742379934,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-01 23:59:00,0.18665,0.22069,0.18487,0.21723,ALPHA-USDT,27582545.0,5717618.64872,0.1633374390831681,1,0,8.71426081639766,22,56,0.28205128205128205,1.0,1.0,1.0
2021-01-02 11:59:00,0.45,0.4913,0.4424,0.4759,ONT-USDT,20279994.0,9573343.80002,0.057790620137808224,1,0,2.0178553412005913,23,55,0.2948717948717949,1.0,1.0,1.0
2021-01-02 23:59:00,29775.0,33480.0,29759.68,32199.91,BTC-USDT,435116.043,13856311975.09993,0.08142225559788718,1,0,5.530465132068117,39,39,0.5,1.0,1.0,1.0
2021-01-03 11:59:00,14.43,15.875,14.005,15.281,NEO-USDT,778458.85,11535488.65668,0.05941486411536334,1,0,30.74072935528426,57,21,0.7307692307692307,1.0,1.0,1.0
2021-01-03 23:59:00,0.01662,0.019387,0.016577,0.0189419999999999,FTM-USDT,487507947.0,8883714.88581,0.1396426207809338,1,0,8.24511922640152,67,11,0.8589743589743589,1.0,1.0,1.0
2021-01-04 11:59:00,0.2263,0.263,0.2152,0.232,XRP-USDT,2073334703.2,492406373.541,0.02428256070640189,1,0,1.0185166323766046,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-05 11:59:00,21.412,21.77,21.0,21.742,FIL-USDT,673950.6,14354716.0215,0.015269670791501433,1,0,3.605633294981153,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-05 23:59:00,0.031488,0.043426,0.0311259999999999,0.041038,RSR-USDT,1890606347.0,71307120.098705,0.3030418492411251,1,0,8.438475345045577,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-06 23:59:00,0.8946,1.06,0.8852,1.0369,RLC-USDT,12899040.2,12825919.89406,0.15919508105086644,1,0,3.5247516027842565,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-07 11:59:00,24857.5,33797.1,24166.5,32844.5,YFI-USDT,6773.222,198021869.9558,0.32329715312527685,1,0,7.68684739910252,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-07 23:59:00,0.333,0.51617,0.32838,0.41813,ALPHA-USDT,146638788.0,62684957.370400004,0.2556456456456455,1,0,2.059264136607608,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-08 11:59:00,0.1642799999999999,0.272,0.1642799999999999,0.23514,ENJ-USDT,335166442.0,76333529.993,0.43098831548198624,1,0,4.672252536392886,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-08 23:59:00,33066.1,38719.7,31491.9,34997.1,YFI-USDT,7379.211,256447680.9303,0.058346966979862636,1,0,5.7266542979057675,26,52,0.3333333333333333,1.0,1.0,1.0
2021-01-09 11:59:00,14.512,15.928,14.05,15.787,ZEN-USDT,207842.6,3167830.5178,0.08815825751309636,1,0,8.992186797485411,70,8,0.8974358974358975,1.0,1.0,1.0
2021-01-09 23:59:00,450.56,590.0,445.0,576.54,BCH-USDT,1303474.663,665920157.49288,0.2801474343317716,1,0,9.675613489512548,58,20,0.7435897435897436,1.0,1.0,1.0
2021-01-10 11:59:00,110.2,155.11,110.17,135.39,DASH-USDT,816738.861,111121030.33408,0.22891894345103014,1,0,1.8275362305597556,13,65,0.16666666666666666,1.0,1.0,1.0
2021-01-10 23:59:00,15.252,23.821,14.942,22.1,ZEN-USDT,3664444.0,77791917.1406,0.4488952992853865,1,0,11.87030052875375,37,41,0.47435897435897434,1.0,1.0,1.0
2021-01-11 23:59:00,1.0833,1.2336,1.0193,1.2194,TOMO-USDT,13028955.0,14558784.6133,0.12792526130792714,1,0,0.7822163940442777,39,39,0.5,1.0,1.0,1.0
2021-01-12 11:59:00,6.4587,8.0592,6.3814,7.864,AVAX-USDT,5596562.0,41496616.9098,0.21788418949683308,1,0,11.055697424533143,56,23,0.7088607594936709,1.0,1.0,1.0
2021-01-12 23:59:00,5.3416,5.8285,4.968,5.5912,UNI-USDT,8361492.0,45744429.0555,0.047355012737898994,1,0,2.5743378233871765,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-13 11:59:00,8.301,9.361,7.98,9.221,DOT-USDT,12482132.1,108987898.9283,0.11109772261718298,1,0,18.179996364000445,71,8,0.8987341772151899,1.0,1.0,1.0
2021-01-14 11:59:00,1.2277,1.3787,1.2021,1.3442,TOMO-USDT,7689068.0,9970552.5517,0.09507128309572299,1,0,1.2852421492024069,45,34,0.569620253164557,1.0,1.0,1.0
2021-01-14 23:59:00,0.1101,0.12951,0.10905,0.12829,SKL-USDT,67295369.0,8154623.35481,0.16436739880196027,1,0,3.9211849967800227,51,28,0.6455696202531646,1.0,1.0,1.0
2021-01-15 11:59:00,0.3125,0.33294,0.30622,0.31945,ADA-USDT,428262890.0,136738715.48184,0.022567221510883417,1,0,43.05980876195418,54,25,0.6835443037974683,1.0,1.0,1.0
2021-01-15 23:59:00,9.2184,10.798,8.7768,10.5183,BAND-USDT,8035325.9,78871375.05068,0.14139528827059356,1,0,4.196457191740521,17,62,0.21518987341772153,1.0,1.0,1.0
2021-01-16 23:59:00,21.946,25.143,21.729,22.866,FIL-USDT,3633949.2,85292421.5969,0.0419210790121205,1,0,2.3896103275425746,15,64,0.189873417721519,1.0,1.0,1.0
