time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,上涨,下跌,Roc_2,上涨数量,下跌数量,上涨比例,rank_Roc_2,rank_sum,rank
2021-01-01 11:59:00,1.3658,1.4033,1.1222,1.1734,1INCH-USDT,25403471.0,31517115.0848,-0.14200058496636436,0,1,-0.08242101970597426,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-01 23:59:00,1.1733,1.2195,1.082,1.1578,1INCH-USDT,19045294.0,22013917.8089,-0.013294699164820178,0,1,-0.15340742907282834,22,56,0.28205128205128205,1.0,1.0,1.0
2021-01-02 11:59:00,135.72,137.98,128.19,134.46,XMR-USDT,474952.327,63167984.52554,-0.00979453568009414,0,1,-0.18037183785431277,23,55,0.2948717948717949,1.0,1.0,1.0
2021-01-02 23:59:00,1.0712,1.1359,0.9988,1.0267,1INCH-USDT,18425149.0,19829066.3658,-0.041005043900616545,0,1,-0.11323199170841247,39,39,0.5,1.0,1.0,1.0
2021-01-03 11:59:00,0.07227,0.07681,0.06479,0.06812,ZIL-USDT,568478166.0,39767008.15138,-0.057293108220315636,0,1,-0.13728470111448843,57,21,0.7307692307692307,1.0,1.0,1.0
2021-01-03 23:59:00,2.2145,2.259,2.0656,2.1339,THETA-USDT,23908993.3,51438853.50674,-0.03635296242774555,0,1,-0.1089071700004175,67,11,0.8589743589743589,1.0,1.0,1.0
2021-01-04 11:59:00,0.009878,0.011554,0.0077,0.008864,DOGE-USDT,15408901674.0,148546439.834962,-0.10256150653032292,0,1,-0.32346206686002144,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-05 11:59:00,3.5713,3.7864,3.1123,3.5008,SUSHI-USDT,22223359.0,75826677.3834,-0.020207108872096313,0,1,-0.02362292567284907,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-05 23:59:00,2.3778,2.399,2.073,2.1355,SOL-USDT,16683101.0,37000989.4413,-0.1019009168138616,0,1,-0.1400209407216495,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-06 23:59:00,0.43605,0.49122,0.3987,0.41134,LRC-USDT,142669445.0,62155417.93524,-0.05742438130155825,0,1,-0.16519868490481782,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-07 11:59:00,12.179,12.502,11.505,12.084,SNX-USDT,1692941.2,20432057.0368,-0.006576783952647158,0,1,-0.08937452901281084,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-07 23:59:00,1.4696,1.6204,1.25,1.2986,1INCH-USDT,29236086.0,42918781.44,-0.11563606646690272,0,1,-0.14650016431153468,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-08 11:59:00,0.34639,0.353,0.29791,0.34563,GRT-USDT,110565200.0,36925542.78495,-0.0023092688277575046,0,1,-0.1442048183821527,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-08 23:59:00,0.1814599999999999,0.18602,0.15213,0.16512,CVC-USDT,133336760.0,22268891.55636,-0.08934480476505635,0,1,-0.1804645622394283,26,52,0.3333333333333333,1.0,1.0,1.0
2021-01-09 11:59:00,0.16519,0.17599,0.1461,0.1521799999999999,CVC-USDT,83282782.0,12953411.91061,-0.078367248062016,0,1,-0.16071034634899684,70,8,0.8974358974358975,1.0,1.0,1.0
2021-01-09 23:59:00,0.1522599999999999,0.15788,0.14243,0.15197,CVC-USDT,55224032.0,8280563.07378,-0.001379944802207267,0,1,-0.07963905038759689,58,20,0.7435897435897436,1.0,1.0,1.0
2021-01-10 11:59:00,23.98,26.018,23.0,23.349,TRB-USDT,474163.5,11723335.5825,-0.025907384230287822,0,1,-0.11271138134144032,13,65,0.16666666666666666,1.0,1.0,1.0
2021-01-10 23:59:00,3.363,3.619,2.84,3.062,EOS-USDT,174747288.5,553570690.7168,-0.08896161856590312,0,1,-0.15577612351805903,37,41,0.47435897435897434,1.0,1.0,1.0
2021-01-11 23:59:00,486.09,499.69,400.19,476.91,BCH-USDT,1211991.632,543668777.55426,-0.018945939274253254,0,1,-0.2070530726256984,39,39,0.5,1.0,1.0,1.0
2021-01-12 11:59:00,0.4992899999999999,0.5170600000000001,0.47384,0.47948,AXS-USDT,5173352.0,2561515.8013,-0.03944547949596322,0,1,-0.06347904215008393,56,23,0.7088607594936709,1.0,1.0,1.0
2021-01-12 23:59:00,0.47962,0.48445,0.44255,0.45102,AXS-USDT,6645155.0,3087832.84967,-0.05935596896638029,0,1,-0.09646012380551716,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-13 11:59:00,27.102,27.128,24.121,24.913,ZEN-USDT,832973.1,21035222.5654,-0.0807689469411852,0,1,-0.10513649425287352,71,8,0.8987341772151899,1.0,1.0,1.0
2021-01-14 11:59:00,0.11222,0.1134299999999999,0.107,0.11018,SKL-USDT,18418114.0,2029111.63133,-0.018178577793619644,0,1,-0.031043883563450003,45,34,0.569620253164557,1.0,1.0,1.0
2021-01-14 23:59:00,3.4236,3.5674,3.1741,3.2949,SOL-USDT,11632700.0,38916524.2527,-0.037648227116069855,0,1,-0.06636252869003423,51,28,0.6455696202531646,1.0,1.0,1.0
2021-01-15 11:59:00,25.171,25.994,23.761,24.026,ZEN-USDT,393879.2,9831195.7978,-0.04617094763587282,0,1,-0.08090738686354759,54,25,0.6835443037974683,1.0,1.0,1.0
2021-01-15 23:59:00,14.14,14.149,11.771,13.158,DOT-USDT,37130744.4,488073396.6954,-0.06905334654025763,0,1,-0.09255172413793111,17,62,0.21518987341772153,1.0,1.0,1.0
2021-01-16 23:59:00,0.023949,0.024016,0.019634,0.020824,IOST-USDT,3820540584.0,82264136.771884,-0.13106613811808898,0,1,-0.15603469238874934,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-17 11:59:00,0.02083,0.020838,0.0167539999999999,0.0185,IOST-USDT,4638857242.0,84457964.121291,-0.11160199769496737,0,1,-0.22804089296891306,28,51,0.35443037974683544,1.0,1.0,1.0
2021-01-17 23:59:00,8.656,8.875,8.196,8.555,ATOM-USDT,4251246.4,36359957.84741,-0.011782372646413353,0,1,-0.054487179487179516,66,13,0.8354430379746836,1.0,1.0,1.0
2021-01-18 11:59:00,2.5067,2.6671,2.3516,2.4546,NEAR-USDT,6133678.0,15317292.9762,-0.021057669298875314,0,1,-0.06810933940774477,55,24,0.6962025316455697,1.0,1.0,1.0
2021-01-18 23:59:00,1.9467,1.9721,1.76,1.8889,1INCH-USDT,16589989.0,30499628.317,-0.028992957384465168,0,1,-0.07261390416339353,44,35,0.5569620253164557,1.0,1.0,1.0
2021-01-19 11:59:00,0.61934,0.64918,0.525,0.5622699999999999,GRT-USDT,163554687.0,93259549.00316,-0.09148637076055521,0,1,-0.11187806033801939,46,34,0.575,1.0,1.0,1.0
2021-01-22 23:59:00,0.1152099999999999,0.123,0.11273,0.11402,SKL-USDT,52081246.0,6140236.26201,-0.009555246699096576,0,1,-0.020110003437606605,64,17,0.7901234567901234,1.0,1.0,1.0
2021-01-23 11:59:00,0.63641,0.6864899999999999,0.62,0.63459,REN-USDT,26540411.0,17240323.932,-0.002734430248456099,0,1,-0.03928603869561276,41,40,0.5061728395061729,1.0,1.0,1.0
2021-01-24 23:59:00,3.775,3.785,3.431,3.553,QTUM-USDT,8889438.6,31811565.9276,-0.05880794701986758,0,1,-0.09845216950012681,19,62,0.2345679012345679,1.0,1.0,1.0
2021-01-25 11:59:00,3.555,3.677,3.423,3.52,QTUM-USDT,4659742.0,16416406.1201,-0.009287925696594423,0,1,-0.06754966887417213,56,26,0.6829268292682927,1.0,1.0,1.0
2021-01-26 11:59:00,28.215,29.631,26.877,27.625,TRB-USDT,258825.8,7253231.9883,-0.021673690547862723,0,1,-0.1383881230116648,27,56,0.3253012048192771,1.0,1.0,1.0
2021-01-26 23:59:00,0.41383,0.44064,0.3831699999999999,0.4392,ENJ-USDT,40880706.0,16692357.42713,0.06135666126966477,1,0,-0.07100704359413657,69,14,0.8313253012048193,1.0,1.0,1.0
2021-01-27 23:59:00,0.13491,0.13879,0.12648,0.13091,SKL-USDT,46081556.0,6134407.90694,-0.02792010098759945,0,1,-0.18268090154211158,26,57,0.3132530120481928,1.0,1.0,1.0
2021-01-28 23:59:00,0.02077,0.022,0.01858,0.01872,AKRO-USDT,110731479.0,2244341.98224,-0.09913378248315685,0,1,-0.07783251231527089,47,37,0.5595238095238095,1.0,1.0,1.0
2021-01-29 11:59:00,0.01872,0.01951,0.01793,0.01871,AKRO-USDT,98664386.0,1844065.96277,-0.0005341880341880323,0,1,-0.09961501443695853,59,25,0.7023809523809523,1.0,1.0,1.0
2021-01-29 23:59:00,2.2262,2.319,2.1178,2.3177,HNT-USDT,1710870.0,3790936.7509,0.042084438649341305,1,0,-0.07016769638128861,25,59,0.2976190476190476,1.0,1.0,1.0
2021-01-30 11:59:00,0.045873,0.050646,0.02833,0.032685,DOGE-USDT,32015123805.0,1119590755.533153,-0.2876446614214415,0,1,-0.34509497475354656,33,51,0.39285714285714285,1.0,1.0,1.0
2021-01-30 23:59:00,0.032681,0.03528,0.022147,0.0279899999999999,DOGE-USDT,30837093063.0,880193693.090867,-0.14364387333639583,0,1,-0.38997014144672537,65,19,0.7738095238095238,1.0,1.0,1.0
2021-01-31 11:59:00,0.0279899999999999,0.031383,0.026516,0.028589,DOGE-USDT,10433339516.0,296152143.548379,0.021400500178638815,1,0,-0.12531742389475287,48,36,0.5714285714285714,1.0,1.0,1.0
