time,open,high,low,close,symbol,volume,quote_volume,ÕÇµø·ù,Õñ·ù,ÉÏÕÇ,ÏÂµø,Dc_2,VolumeStd_2,ÉÏÕÇÊýÁ¿,ÏÂµøÊýÁ¿,ÉÏÕÇ±ÈÀý,rank_Dc_2,rank_ÕÇµø·ù,rank_Õñ·ù,rank_VolumeStd_2,rank_sum,rank
2022-06-30 23:59:00,0.1255,0.1311,0.1034,0.1128,1000LUNCBUSD,2995893879.0,353921979.5625,-0.10119521912350604,0.2207171314741035,0,1,0.4584420424897502,267937943.77361086,156,9,0.9454545454545454,1.0,1.0,2.0,4.0,8.0,1.0
2022-07-05 11:59:00,0.128,0.1281,0.1011,0.1172,1000LUNCBUSD,1612399948.0,187414888.9912,-0.08437499999999998,0.21093749999999997,0,1,0.2576475657044378,99594389.02647384,6,159,0.03636363636363636,1.0,2.0,1.0,9.0,13.0,1.0
2022-07-05 23:59:00,0.1171,0.1198,0.1094,0.1164,1000LUNCBUSD,610927315.0,71289693.9099,-0.0068259385665528916,0.08881298035866786,0,1,0.23560209424083767,82112912.90859918,144,21,0.8727272727272727,1.0,6.0,26.0,7.0,40.0,1.0
2022-07-06 23:59:00,0.1157,0.1157,0.1061,0.1121,1000LUNCBUSD,629703601.0,70513874.8707,-0.030276816608996393,0.08297320656871217,0,1,0.12957249889819308,10845264.015271707,142,23,0.8606060606060606,6.0,2.0,6.0,32.0,46.0,1.0
2022-07-12 11:59:00,0.1047,0.1048,0.0909,0.0949,1000LUNCBUSD,680169965.0,65608430.1264,-0.09273422562141487,0.1327602674307546,0,1,0.18018018018018023,25863742.733402237,72,95,0.4311377245508982,2.0,1.0,1.0,18.0,22.0,1.0
2021-05-11 23:59:00,0.032871,0.03478,0.0280389999999999,0.030494,1000SHIB-USDT,19728654272.0,626255026.97498,-0.07253870251528327,0.2050743816738188,0,1,0.3069252416493331,25625429.49208489,103,7,0.9363636363636364,7.0,2.0,5.0,25.0,39.0,1.0
2021-05-12 11:59:00,0.030487,0.031556,0.025051,0.028414,1000SHIB-USDT,32624532360.0,926545042.891598,-0.06821013969961309,0.2133696329583101,0,1,0.3252160251374705,212337106.57725674,48,62,0.43636363636363634,4.0,4.0,2.0,6.0,16.0,1.0
2021-05-12 23:59:00,0.028426,0.02866,0.015,0.018181,1000SHIB-USDT,78674609342.0,1609497467.669869,-0.3601393679172239,0.48054597903327945,0,1,0.7112294870693359,482920290.7885107,0,110,0.0,1.0,1.0,1.0,8.0,11.0,1.0
2021-05-13 11:59:00,0.0181729999999999,0.022692,0.01445,0.016374,1000SHIB-USDT,56849877572.0,1027664906.795488,-0.09938947252626362,0.45352996203158785,0,1,0.6592437949431686,411417749.30940926,87,23,0.7909090909090909,1.0,1.0,2.0,4.0,8.0,1.0
2021-05-14 11:59:00,0.020672,0.021553,0.019536,0.020501,1000SHIB-USDT,18290538136.0,375114649.910885,-0.00913484775253759,0.09757159442724449,0,1,0.34615780269519597,459645864.5817631,103,7,0.9363636363636364,4.0,4.0,37.0,6.0,51.0,1.0
