time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,上涨,下跌,Atr_2,上涨数量,下跌数量,上涨比例,rank_Atr_2,rank_sum,rank
2021-01-01 11:59:00,0.005679,0.00577,0.00561,0.005716,IOST-USDT,270415789.0,1540275.281567,0.006692497358224747,1,0,0.03168334210988233,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-01 23:59:00,29342.0,29668.86,28627.12,29337.16,BTC-USDT,111261.521,3252549947.43532,-0.00016461051210237,0,1,0.032075447582318416,22,56,0.28205128205128205,1.0,1.0,1.0
2021-01-02 11:59:00,0.02684,0.0269899999999999,0.02647,0.0267199999999999,TRX-USDT,282056338.0,7550689.28673,-0.004470938897172094,0,1,0.026512322628825673,23,55,0.2948717948717949,1.0,1.0,1.0
2021-01-02 23:59:00,0.02671,0.02796,0.02658,0.02721,TRX-USDT,921109595.0,25019794.62709,0.018338323353297215,1,0,0.03523085481179124,39,39,0.5,1.0,1.0,1.0
2021-01-03 11:59:00,0.7866,0.79132,0.765,0.7891699999999999,KNC-USDT,3224346.0,2512936.32024,0.00399475846977837,1,0,0.034522600304723275,57,21,0.7307692307692307,1.0,1.0,1.0
2021-01-03 23:59:00,0.13197,0.13748,0.1309,0.13549,ENJ-USDT,21944611.0,2947484.75396,0.026750530463776956,1,0,0.0385866517106001,67,11,0.8589743589743589,1.0,1.0,1.0
2021-01-04 11:59:00,21.486,23.045,20.939,21.429,FIL-USDT,2610357.7,57252808.7346,-0.0023743016759777413,0,1,0.07879465846325948,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-05 11:59:00,21.412,21.77,21.0,21.742,FIL-USDT,673950.6,14354716.0215,0.015269670791501433,1,0,0.031466506012929635,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-05 23:59:00,59.79,60.16,58.4,59.75,ZEC-USDT,129509.025,7691103.20969,-0.00033461602810780366,0,1,0.042838018741633184,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-06 23:59:00,41.751000000000005,42.328,40.837,42.288,BNB-USDT,1819838.3,75912115.15591,0.0128862275449102,1,0,0.0349127775530117,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-07 11:59:00,42.286,44.377,41.488,43.918,BNB-USDT,2078911.07,89540186.80496,0.03854521377222864,1,0,0.05080852840869548,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-07 23:59:00,22.671,22.881,21.784,22.101,FIL-USDT,1017886.0,22739282.0404,-0.02488418266048975,0,1,0.05291962650225626,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-08 11:59:00,22.084,22.335,21.155,21.967,FIL-USDT,862163.4,18748120.1495,-0.006063074069046714,0,1,0.05167014613778709,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-08 23:59:00,21.955,22.084,21.244,21.657,FIL-USDT,477844.5,10362543.840499999,-0.014112077206719142,0,1,0.046304786356134234,26,52,0.3333333333333333,1.0,1.0,1.0
2021-01-09 11:59:00,21.645,22.293000000000003,21.379,22.056,FIL-USDT,508052.0,11081106.706,0.018423604377337588,1,0,0.04012536316427611,70,8,0.8974358974358975,1.0,1.0,1.0
2021-01-09 23:59:00,42.775,44.301,42.337,43.907,BNB-USDT,1501154.12,65088217.68066,0.02668007295515107,1,0,0.04200846861190911,58,20,0.7435897435897436,1.0,1.0,1.0
2021-01-10 11:59:00,40136.05,41412.12,38847.01,39233.99,BTC-USDT,144159.532,5832637136.23298,-0.02247481316044142,0,1,0.05360952994474108,13,65,0.16666666666666666,1.0,1.0,1.0
2021-01-10 23:59:00,42.584,43.721,39.786,42.399,BNB-USDT,2454023.93,104075939.38574,-0.004040309130628916,0,1,0.07940449570436615,37,41,0.47435897435897434,1.0,1.0,1.0
2021-01-11 23:59:00,21.835,21.927,20.878,21.684,FIL-USDT,1097205.7,23421146.7199,-0.006414956011730255,0,1,0.07973246299531132,39,39,0.5,1.0,1.0,1.0
2021-01-12 11:59:00,21.674,21.945,21.319000000000003,21.68,FIL-USDT,482111.2,10434532.8937,-0.00018446781036718374,0,1,0.038626510469513826,56,23,0.7088607594936709,1.0,1.0,1.0
2021-01-12 23:59:00,21.681,21.75,20.903,21.013,FIL-USDT,653782.3,13934453.4546,-0.030765682656826443,0,1,0.03450214320848849,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-13 11:59:00,21.017,21.574,20.936,21.428,FIL-USDT,560973.9,11937262.4269,0.019749678770285106,1,0,0.034989750477133034,71,8,0.8987341772151899,1.0,1.0,1.0
2021-01-14 11:59:00,21.748,21.883000000000003,21.622,21.832,FIL-USDT,369084.0,8041517.7128,0.004231830726771024,1,0,0.01978334710364459,45,34,0.569620253164557,1.0,1.0,1.0
2021-01-14 23:59:00,21.833,22.339,21.39,21.624,FIL-USDT,852869.4,18617739.0508,-0.009527299377061316,0,1,0.02784425625920474,51,28,0.6455696202531646,1.0,1.0,1.0
