time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,上涨,下跌,Sgcz_2,上涨数量,下跌数量,上涨比例,rank_Sgcz_2,rank_sum,rank
2021-01-01 11:59:00,1.3658,1.4033,1.1222,1.1734,1INCH-USDT,25403471.0,31517115.0848,-0.14200058496636436,0,1,-0.16472095554725974,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-01 23:59:00,164.06,168.99,130.04,135.79,XMR-USDT,956884.799,136789222.67637,-0.17226455348978975,0,1,-0.1887564596475936,22,56,0.28205128205128205,1.0,1.0,1.0
2021-01-02 11:59:00,11.806,12.151,11.252,11.53,ZEN-USDT,551230.9,6437415.8695,-0.023046941196407378,0,1,-0.13993734138450165,23,55,0.2948717948717949,1.0,1.0,1.0
2021-01-02 23:59:00,0.4541,0.4568,0.3892,0.408,ALGO-USDT,90397594.1,37934537.4586,-0.10171730515191546,0,1,-0.11323625052735814,39,39,0.5,1.0,1.0,1.0
2021-01-03 11:59:00,0.07227,0.07681,0.06479,0.06812,ZIL-USDT,568478166.0,39767008.15138,-0.057293108220315636,0,1,-0.12728202840535155,57,21,0.7307692307692307,1.0,1.0,1.0
2021-01-03 23:59:00,0.01311,0.014,0.009403,0.009877,DOGE-USDT,28659713680.0,333463196.059425,-0.24614562662188977,0,1,-0.2787350089564681,67,11,0.8589743589743589,1.0,1.0,1.0
2021-01-04 11:59:00,0.009878,0.011554,0.0077,0.008864,DOGE-USDT,15408901674.0,148546439.834962,-0.10256150653032292,0,1,-0.30625318443047306,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-05 11:59:00,0.0309699999999999,0.03125,0.02677,0.02853,TRX-USDT,5545889915.0,156376329.73097,-0.07878592185986144,0,1,-0.0871860223368991,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-05 23:59:00,1.11431,1.24663,0.8595,0.91368,CTK-USDT,41097528.0,43046810.24487,-0.1800412815220318,0,1,-0.22817391405423307,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-06 23:59:00,0.43605,0.49122,0.3987,0.41134,LRC-USDT,142669445.0,62155417.93524,-0.05742438130155825,0,1,-0.1862468681316583,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-07 11:59:00,0.3433,0.418,0.32,0.33218,XLM-USDT,2263396692.0,817664041.16243,-0.03140399475142153,0,1,-0.18282902379264396,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-07 23:59:00,0.33242,0.3645,0.28833,0.3126,XLM-USDT,1227626497.0,400249175.62885,-0.05894394605334452,0,1,-0.20102235907930072,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-08 11:59:00,0.2023,0.215,0.1587599999999999,0.18132,CVC-USDT,478304500.0,89440205.64739001,-0.10005955926146504,0,1,-0.14149759042174212,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-08 23:59:00,0.1814599999999999,0.18602,0.15213,0.16512,CVC-USDT,133336760.0,22268891.55636,-0.08934480476505635,0,1,-0.17649991638821427,26,52,0.3333333333333333,1.0,1.0,1.0
2021-01-09 11:59:00,0.16519,0.17599,0.1461,0.1521799999999999,CVC-USDT,83282782.0,12953411.91061,-0.078367248062016,0,1,-0.1592497356841123,70,8,0.8974358974358975,1.0,1.0,1.0
2021-01-09 23:59:00,1.2375,1.2995,1.1264,1.1324,TOMO-USDT,8151801.0,9856775.4472,-0.08485534184580568,0,1,-0.12875552891898026,58,20,0.7435897435897436,1.0,1.0,1.0
2021-01-10 11:59:00,0.011376,0.013188,0.010226,0.010422,IOST-USDT,4382368933.0,52887976.867474,-0.0833773087071239,0,1,-0.21897465604417257,13,65,0.16666666666666666,1.0,1.0,1.0
2021-01-10 23:59:00,1657.42,1782.98,1425.0,1487.07,MKR-USDT,65685.192,107134047.92587,-0.10201086956521743,0,1,-0.20777273150935502,37,41,0.47435897435897434,1.0,1.0,1.0
2021-01-11 23:59:00,25.399,29.92,21.312,24.083,ZEN-USDT,4543835.5,112566512.3132,-0.051663713329395566,0,1,-0.17889532895366697,39,39,0.5,1.0,1.0,1.0
2021-01-12 11:59:00,24.09,30.7,22.565,27.84,ZEN-USDT,2889016.4,79160958.0025,0.1560021591994354,1,0,-0.08149125698400174,56,23,0.7088607594936709,1.0,1.0,1.0
2021-01-12 23:59:00,0.039534,0.041368,0.035618,0.036618,RSR-USDT,848713627.0,32588631.969005,-0.0737592957960237,0,1,-0.1465528955034505,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-13 11:59:00,27.102,27.128,24.121,24.913,ZEN-USDT,832973.1,21035222.5654,-0.0807689469411852,0,1,-0.10910456297056784,71,8,0.8987341772151899,1.0,1.0,1.0
2021-01-14 11:59:00,0.17031,0.17362,0.15738,0.16147,CVC-USDT,52404822.0,8512459.777520001,-0.05067905226644709,0,1,-0.06453855138528747,45,34,0.569620253164557,1.0,1.0,1.0
2021-01-14 23:59:00,0.43226,0.4429899999999999,0.38489,0.40663,LRC-USDT,34031107.0,14294657.78524,-0.05920595992781452,0,1,-0.08887618976515098,51,28,0.6455696202531646,1.0,1.0,1.0
2021-01-15 11:59:00,25.171,25.994,23.761,24.026,ZEN-USDT,393879.2,9831195.7978,-0.04617094763587282,0,1,-0.09538959690679834,54,25,0.6835443037974683,1.0,1.0,1.0
2021-01-15 23:59:00,0.37088,0.37786,0.30638,0.33774,GRT-USDT,118449505.0,40950380.67598,-0.08935504745470235,0,1,-0.12587511806211285,17,62,0.21518987341772153,1.0,1.0,1.0
