time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,振幅,上涨,下跌,Dc_2,上涨数量,下跌数量,上涨比例,rank_Dc_2,rank_sum,rank
2021-08-08 14:59:00,0.0080769999999999,0.0085,0.0075599999999999,0.007589,1000SHIB-USDT,38649422472.0,312332616.70879,-0.060767326732673266,0.11637984400149957,0,1,0.2726632972938392,18,99,0.15384615384615385,1.0,1.0,1.0
2021-08-09 02:59:00,0.007589,0.0078599999999999,0.007101,0.007391,1000SHIB-USDT,34789198537.0,259346906.76423702,-0.026090393991303196,0.10001317696664914,0,1,0.17934747772578694,9,108,0.07692307692307693,1.0,1.0,1.0
2021-09-17 02:59:00,0.006595,0.00935,0.006546,0.009139,1000SHIB-USDT,99376933642.0,808414250.913059,0.3857467778620165,0.4251705837755877,1,0,0.35798499464094324,32,96,0.25,1.0,1.0,1.0
2021-09-17 14:59:00,0.009139,0.009493,0.008114,0.008531,1000SHIB-USDT,88269758166.0,778080934.999402,-0.06652806652806642,0.15089178247072985,0,1,0.3674792692811273,16,113,0.12403100775193798,1.0,1.0,1.0
2021-10-05 02:59:00,0.009959,0.015441,0.00963,0.013123,1000SHIB-USDT,235576329762.0,2981778803.318354,0.3177025805803795,0.583492318505874,1,0,0.612800879901857,110,22,0.8333333333333334,1.0,1.0,1.0
2021-10-05 14:59:00,0.013125,0.019738,0.01236,0.01848,1000SHIB-USDT,222712204611.0,3476026157.554193,0.40821458507963126,0.5621333333333333,1,0,0.6883682920185236,60,72,0.45454545454545453,1.0,1.0,1.0
2021-10-06 02:59:00,0.018476,0.020165,0.015803,0.018328,1000SHIB-USDT,196493603563.0,3535315690.174966,-0.008225108225108135,0.23609006278415232,0,1,0.47993850883935435,98,34,0.7424242424242424,1.0,1.0,1.0
2021-10-06 14:59:00,0.018328,0.02503,0.018105,0.0231889999999999,1000SHIB-USDT,247701829321.0,5543728685.742443,0.26522261021387505,0.3778371890004365,1,0,0.4519383831704748,77,55,0.5833333333333334,1.0,1.0,1.0
2021-10-07 02:59:00,0.0231889999999999,0.03538,0.02125,0.032421,1000SHIB-USDT,193165771386.0,5228919213.332684,0.3981197981801776,0.6093406356462142,1,0,0.6459755071515378,15,117,0.11363636363636363,1.0,1.0,1.0
2021-10-07 14:59:00,0.032431,0.03571,0.026309,0.0286279999999999,1000SHIB-USDT,191461396470.0,5988270322.714867,-0.11699207303908266,0.28987696956615583,0,1,0.5077247191011235,87,45,0.6590909090909091,1.0,1.0,1.0
2021-10-08 02:59:00,0.0286279999999999,0.0306399999999999,0.020618,0.021097,1000SHIB-USDT,220867329662.0,5417873258.702312,-0.26306413301662446,0.35007684784127197,0,1,0.535861383326232,78,54,0.5909090909090909,1.0,1.0,1.0
2021-10-08 14:59:00,0.021095,0.028918,0.020847,0.025582,1000SHIB-USDT,150878697239.0,3700921464.595965,0.21258946769682896,0.38260251244370697,1,0,0.39104139841585384,113,19,0.8560606060606061,1.0,1.0,1.0
2021-10-10 02:59:00,0.026355,0.02721,0.02445,0.026222,1000SHIB-USDT,54697569309.0,1417888111.194114,-0.005008727327919904,0.10472396129766655,0,1,0.21255597185415007,21,111,0.1590909090909091,1.0,1.0,1.0
