,0
累积净值,9.12
年化收益,311.83%
最大回撤,-24.13%
最大回撤开始时间,2021-05-08 12:00:00
最大回撤结束时间,2021-05-20 00:00:00
年化收益/回撤比,12.92
盈利周期数,868.0
亏损周期数,273.0
胜率,76.07%
每周期平均收益,0.21%
盈亏收益比,0.49
单周期最大盈利,20.16%
单周期大亏损,-11.75%
最大连续盈利周期数,24.0
最大连续亏损周期数,4.0
