time,open,high,low,close,symbol,涨跌幅,上涨,下跌,ApzUpper_2,Atr_2,Lcsd_2,上涨数量,下跌数量,上涨比例,rank_ApzUpper_2,rank_涨跌幅,rank_sum,rank
2022-01-26 23:59:00,150.13,159.52,136.52,140.02,EGLD-USDT,-0.0675279701651571,0,1,0.9999999998940037,0.12612860982838234,-0.0627746850232367,15,128,0.1048951048951049,11.0,11.0,22.0,1.0
2022-01-27 11:59:00,29.088,29.816,26.717,28.449,HNT-USDT,-0.021866941722537336,0,1,0.999999999066865,0.11872979455626237,-0.07673017177200668,59,84,0.4125874125874126,2.0,17.0,19.0,1.0
2022-01-27 23:59:00,60.504,61.6,50.2,54.081,LUNA-USDT,-0.1061434970166768,0,1,0.9999999996282259,0.1459889687914543,-0.14127490037026363,51,92,0.35664335664335667,4.0,1.0,5.0,1.0
2022-01-28 11:59:00,1.8,1.84,1.701,1.724,KNC-USDT,-0.04275402554136587,0,1,0.9999997432098339,0.07971631205673761,-0.03615520260931627,38,105,0.26573426573426573,6.0,7.0,13.0,1.0
2022-01-29 23:59:00,42.881,43.66,40.83,41.522,ZEN-USDT,-0.031918118020097586,0,1,0.9999999909638302,0.09288853612595221,-0.03371295615142925,94,49,0.6573426573426573,24.0,5.0,29.0,1.0
2022-01-30 11:59:00,2375.7,2394.5,2270.4,2303.6,YFII-USDT,-0.030063157894736903,0,1,0.9999999999600558,0.04471423075278927,-0.030347075405080914,101,42,0.7062937062937062,2.0,1.0,3.0,1.0
2022-02-01 11:59:00,0.09736,0.1048,0.0867,0.08982,PEOPLE-USDT,-0.07753928314675984,0,1,0.9999996480491691,0.24296169667183085,-0.07952709578695533,105,38,0.7342657342657343,15.0,1.0,16.0,1.0
2022-02-01 23:59:00,0.01377,0.01389,0.01317,0.01329,AKRO-USDT,-0.03485838779956418,0,1,0.0,0.054693274205465325,-0.027334831180842793,63,80,0.4405594405594406,25.0,5.0,30.0,1.0
2022-02-02 11:59:00,25444.0,25715.0,24583.0,24778.0,YFI-USDT,-0.02617512969658864,0,1,0.9999999999965705,0.038130699693361476,-0.021478257332294075,104,39,0.7272727272727273,1.0,3.0,4.0,1.0
2022-02-03 11:59:00,21.58,22.08,20.12,20.49,ICP-USDT,-0.05050973123262281,0,1,0.9999999982359868,0.08557166627050136,-0.0454771371543359,41,102,0.2867132867132867,5.0,1.0,6.0,1.0
2022-02-05 23:59:00,2570.0,2575.6,2469.5,2476.6,YFII-USDT,-0.03671723064955279,0,1,0.9999999999014054,0.0382558047388858,-0.021988256732042678,29,114,0.20279720279720279,2.0,17.0,19.0,1.0
2022-02-06 11:59:00,25141.0,25370.0,24292.0,24389.0,YFI-USDT,-0.0298341222801225,0,1,0.9999999998659286,0.0471248586658052,-0.01943026510784644,96,47,0.6713286713286714,2.0,5.0,7.0,1.0
2022-02-06 23:59:00,2646.1,2689.0,2521.5,2561.7,YFII-USDT,-0.031932582571234214,0,1,0.9999999999787033,0.0729276675819428,-0.032698790402408064,127,16,0.8881118881118881,6.0,4.0,10.0,1.0
2022-02-07 11:59:00,20.829,21.559,19.68,20.604,ENS-USDT,-0.010517216539403629,0,1,0.9999999978783328,0.08658604291886941,-0.05251524387575445,121,22,0.8461538461538461,30.0,5.0,35.0,1.0
2022-02-07 23:59:00,32.3,33.191,31.2,31.619,ATOM-USDT,-0.02114420159742425,0,1,0.9999999977490742,0.07074357409927881,-0.02437499999218774,125,18,0.8741258741258742,25.0,6.0,31.0,1.0
2022-02-08 11:59:00,40.071,41.397,35.9,36.985,AR-USDT,-0.07669071573008468,0,1,0.9999999994072798,0.13170738038991722,-0.07300835652562408,17,126,0.11888111888111888,24.0,1.0,25.0,1.0
2022-02-08 23:59:00,426.69,426.69,406.64,408.26,BNBBUSD,-0.043282637733461526,0,1,0.9999999993579294,0.05310243236445948,-0.02669437340087825,61,82,0.42657342657342656,6.0,5.0,11.0,1.0
2022-02-09 11:59:00,3.467,3.548,3.25,3.3784,MANA-USDT,-0.02555523507355062,0,1,0.9999999839363132,0.09856253834691903,-0.05313846137495881,92,51,0.6433566433566433,10.0,8.0,18.0,1.0
2022-02-09 23:59:00,2.2778,2.49,2.2642,2.2825,RLC-USDT,0.0018874550083400887,1,0,0.9999999898593107,0.07612866445940314,-0.007132762091985022,126,17,0.8811188811188811,11.0,25.0,36.0,1.0
2022-02-10 11:59:00,40.817,41.482,37.673,39.519,AR-USDT,-0.031420798509840586,0,1,0.9999999986716521,0.11058266932270919,-0.06601544871233578,75,69,0.5208333333333334,13.0,3.0,16.0,1.0
2022-02-11 11:59:00,0.10402,0.1077,0.0964,0.09851,ARPA-USDT,-0.052970582580272985,0,1,0.9999986797894976,0.2120673480472029,-0.05046679974410785,101,44,0.696551724137931,28.0,1.0,29.0,1.0
2022-02-12 11:59:00,3.95,4.25,3.785,3.817,THETA-USDT,-0.033181357649442744,0,1,0.9999999875711656,0.09465550547327747,-0.025759577210674633,62,83,0.42758620689655175,2.0,7.0,9.0,1.0
