candle_begin_time,factor,symbol,µ±ÖÜÆÚÕÇµø·ù,¾»Öµ,±¸×¢,Dc_2,ÕÇµø·ù,Õñ·ù,Sgcz_2
2021-01-01 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,1INCH-USDT,0.01290705117675972,1.0129070511767597,,0.2247182123788807,-0.1420005849663643,0.205813442670962,-0.1647209555472597
2021-01-02 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,XMR-USDT,0.005252282543755982,1.0182271252001027,,0.2605089790322042,-0.1722645534897897,0.2374131415335853,-0.1887564596475936
2021-01-02 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,1INCH-USDT,0.008337600540075929,1.026716696229091,,0.1635766876607825,-0.0753152530661599,0.1101226463983418,-0.1011292548496768
2021-01-03 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,ALGO-USDT,0.009479379052113046,1.0364493329717797,,0.1962085308056871,-0.1017173051519154,0.1488658885707993,-0.1132362505273581
2021-01-03 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,ZIL-USDT,0.011177867356332971,1.048034626137298,,0.2014019015892844,-0.0572931082203156,0.1663207416632074,-0.1272820284053515
2021-01-04 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,DOGE-USDT,0.031301698644144116,1.0808398901732759,,0.4002400240024001,-0.2461456266218897,0.3506483600305111,-0.2787350089564681
2021-01-04 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,DOGE-USDT,0.01052374482264895,1.0922143733715994,,0.5806451612903226,-0.1025615065303229,0.3901599514071674,-0.306253184430473
2021-01-05 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,ALPHA-USDT,0.008735366073704842,1.1017552657539624,,0.2979712217356332,-0.0383054759334399,0.1294897085644098,-0.1391392679271807
2021-01-05 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,SUSHI-USDT,0.008209660078738246,1.1108003019757624,,0.2117072470013647,-0.0202071088720963,0.1887547951726262,-0.0830321125175962
2021-01-06 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,CTK-USDT,0.0016227366697010304,1.1126028383584934,,0.3676221315873188,-0.1800412815220318,0.3474167870700253,-0.228173914054233
2021-01-06 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,LRC-USDT,0.023118558560952795,1.1383246122321664,,0.3908816111207378,-0.1143402199943173,0.2063524216581928,-0.2348222463538815
2021-01-07 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,SOL-USDT,0.04566796439477305,1.1903095800932788,,0.252871163082063,-0.0772977760283408,0.2383623659088672,-0.1282945189964462
2021-01-07 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,XLM-USDT,0.019606495258777112,1.2136473792318547,,0.4276919502845862,-0.0314039947514215,0.2854646082143897,-0.1828290237926439
2021-01-08 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,1INCH-USDT,-0.050280025483129154,1.152625158076544,,0.258082497212932,-0.1156360664669027,0.2520413718018509,-0.1840145767443867
2021-01-08 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,CVC-USDT,0.005059909814477015,1.1584573374263087,,0.4489563459293219,-0.100059559261465,0.2780029658922397,-0.1414975904217421
2021-01-09 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,CVC-USDT,0.0012497262720623237,1.1599050919959537,,0.3424944842426389,-0.0893448047650563,0.1867629229582278,-0.1764999163882142
2021-01-09 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,CVC-USDT,0.009128984707053478,1.1704938478424183,,0.2403950379380945,-0.078367248062016,0.1809431563653974,-0.1592497356841123
2021-01-10 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,LRC-USDT,0.003086825832659068,1.1741069584889068,,0.2206221493363397,-0.0416304644639178,0.1384955532369453,-0.1064253285245502
2021-01-10 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,IOST-USDT,0.013492237335020807,1.1899482882295385,,0.2832015559595788,-0.0833773087071239,0.2603727144866384,-0.2189746560441725
2021-01-11 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,EOS-USDT,-0.017443791248918483,1.1691910786926545,,0.3239893773974625,-0.0889616185659031,0.2316384180790961,-0.1896255122677639
2021-01-11 12:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,BCH-USDT,0.02482474477941521,1.1982159488195687,,0.3086428888560013,-0.1917398244213887,0.2452108553944393,-0.2086473815264997
2021-01-12 00:00:00,Dc_2False+ÕÇµø·ùTrue+Õñ·ùFalse+Sgcz_2True,ZEN-USDT,0.03548936070470865,1.2407398668293612,,0.5508877379201569,-0.0516637133293955,0.3389109807472735,-0.1788953289536669
