time,open,high,low,close,symbol,volume,quote_volume,ÕÇµø·ù,Õñ·ù,ÉÏÕÇ,ÏÂµø,Dc_2,Sgcz_2,ÉÏÕÇÊýÁ¿,ÏÂµøÊýÁ¿,ÉÏÕÇ±ÈÀý,rank_Dc_2,rank_ÕÇµø·ù,rank_Õñ·ù,rank_Sgcz_2,rank_sum,rank
2022-06-30 11:59:00,0.1609,0.1649,0.1112,0.1255,1000LUNCBUSD,5541457120.0,732843453.5215,-0.2200124300807954,0.33374766935985084,0,1,0.4017247574559828,-0.24397588891711505,1,164,0.006060606060606061,1.0,2.0,1.0,1.0,5.0,1.0
2022-06-30 23:59:00,0.1255,0.1311,0.1034,0.1128,1000LUNCBUSD,2995893879.0,353921979.5625,-0.10119521912350604,0.2207171314741035,0,1,0.4584420424897502,-0.23783782176771473,156,9,0.9454545454545454,1.0,1.0,2.0,1.0,5.0,1.0
2022-07-02 23:59:00,0.1277,0.134,0.121,0.1235,1000LUNCBUSD,1040582467.0,133858670.7305,-0.03288958496476124,0.10180109631949891,0,1,0.14743589743589755,-0.07732535843665626,144,21,0.8727272727272727,7.0,2.0,5.0,2.0,16.0,1.0
2022-07-05 11:59:00,0.128,0.1281,0.1011,0.1172,1000LUNCBUSD,1612399948.0,187414888.9912,-0.08437499999999998,0.21093749999999997,0,1,0.2576475657044378,-0.09532998106291155,6,159,0.03636363636363636,1.0,2.0,1.0,4.0,8.0,1.0
2022-07-05 23:59:00,0.1171,0.1198,0.1094,0.1164,1000LUNCBUSD,610927315.0,71289693.9099,-0.0068259385665528916,0.08881298035866786,0,1,0.23560209424083767,-0.06091165301237169,144,21,0.8727272727272727,1.0,6.0,26.0,10.0,43.0,1.0
2022-07-06 23:59:00,0.1157,0.1157,0.1061,0.1121,1000LUNCBUSD,629703601.0,70513874.8707,-0.030276816608996393,0.08297320656871217,0,1,0.12957249889819308,-0.05200845226144158,142,23,0.8606060606060606,6.0,2.0,6.0,1.0,15.0,1.0
2022-07-12 11:59:00,0.1047,0.1048,0.0909,0.0949,1000LUNCBUSD,680169965.0,65608430.1264,-0.09273422562141487,0.1327602674307546,0,1,0.18018018018018023,-0.11183901620598821,72,95,0.4311377245508982,2.0,1.0,1.0,1.0,5.0,1.0
2021-05-11 11:59:00,0.034835,0.037709,0.027675,0.032879,1000SHIB-USDT,20165402010.0,662494856.904323,-0.05625879043600568,0.28804363427587193,0,1,0.46328345328175813,-0.15335586827283265,89,21,0.8090909090909091,3.0,2.0,4.0,3.0,12.0,1.0
2021-05-12 11:59:00,0.030487,0.031556,0.025051,0.028414,1000SHIB-USDT,32624532360.0,926545042.891598,-0.06821013969961309,0.2133696329583101,0,1,0.3252160251374705,-0.1433308781563924,48,62,0.43636363636363634,4.0,4.0,2.0,1.0,11.0,1.0
2021-05-12 23:59:00,0.028426,0.02866,0.015,0.018181,1000SHIB-USDT,78674609342.0,1609497467.669869,-0.3601393679172239,0.48054597903327945,0,1,0.7112294870693359,-0.3961404290751864,0,110,0.0,1.0,1.0,1.0,1.0,4.0,1.0
