time,open,high,low,close,symbol,涨跌幅,上涨,下跌,ApzUpper_2,Atr_2,Lcsd_2,上涨数量,下跌数量,上涨比例,rank_ApzUpper_2,rank_Lcsd_2,rank_sum,rank
2022-06-26 11:59:00,4.553,5.289,4.509,5.197,APE-USDT,0.1411945542380324,1,0,0.9999999982736505,0.1105527638190954,-0.08128188050281247,141,22,0.8650306748466258,10.0,1.0,11.0,1.0
2022-06-27 23:59:00,2.5785,2.7446,2.0897,2.221,LUNA2BUSD,-0.13871330515375957,0,1,0.9999999967916321,0.31051940746296647,-0.14841843255769507,20,143,0.12269938650306748,4.0,1.0,5.0,1.0
2022-06-28 11:59:00,5.117,5.575,4.79,5.365,APE-USDT,0.04867083659108684,1,0,0.999999997289045,0.13328880831981674,-0.094050104187787,112,51,0.6871165644171779,6.0,4.0,10.0,1.0
2022-06-29 11:59:00,5.778,6.92,5.648,6.252000000000001,UNFI-USDT,0.08184807060045007,1,0,0.9999999984034219,0.24877400049871198,-0.06506728033805285,49,115,0.29878048780487804,1.0,3.0,4.0,1.0
2022-06-29 23:59:00,47.56,51.81,46.06,49.69,COMP-USDT,0.044785534062237176,1,0,0.9999999990914875,0.08956298200514168,-0.055688232727810656,76,88,0.4634146341463415,1.0,7.0,8.0,1.0
2022-07-01 23:59:00,7.335,8.359,7.262,8.09,ATOM-USDT,0.10293115201090663,1,0,0.9999999979357602,0.11040518638573735,-0.062035251911271745,126,39,0.7636363636363637,1.0,3.0,4.0,1.0
2022-07-02 11:59:00,1.689,1.718,1.515,1.541,MASK-USDT,-0.08762581409117831,0,1,0.9999999751230864,0.09349845201238398,-0.06600660022437894,51,114,0.3090909090909091,1.0,4.0,5.0,1.0
2022-07-02 23:59:00,4.863,6.4270000000000005,4.849,6.19,UNFI-USDT,0.27313862607980255,1,0,0.9999999991794694,0.1709192906261313,-0.1396164154678965,144,21,0.8727272727272727,2.0,1.0,3.0,1.0
2022-07-03 11:59:00,6020.0,6065.0,5577.0,5698.0,YFI-USDT,-0.05348837209302326,0,1,0.99999999998779,0.10411332991978153,-0.05056481979549836,28,137,0.1696969696969697,1.0,6.0,7.0,1.0
2022-07-03 23:59:00,10.234,11.984000000000002,10.036,11.63,AR-USDT,0.1361860101602188,1,0,0.9999999992905156,0.1191804628189887,-0.08937823825290989,145,20,0.8787878787878788,4.0,2.0,6.0,1.0
2022-07-04 11:59:00,2.587,2.955,2.492,2.934,SNX-USDT,0.13369397217928913,1,0,0.9999999962970745,0.12423035132198461,-0.10794542492798934,148,17,0.896969696969697,19.0,1.0,20.0,1.0
2022-07-05 23:59:00,16.99,18.65,16.64,18.01,AVAX-USDT,0.06003531489111258,1,0,0.9999999990136385,0.09571428571428557,-0.051682692276633815,144,21,0.8727272727272727,11.0,6.0,17.0,1.0
2022-07-06 11:59:00,5.477,6.049,5.367999999999999,5.922000000000001,UNFI-USDT,0.08124885886434186,1,0,0.9999999960182093,0.08842880954469713,-0.06175484340209525,105,60,0.6363636363636364,6.0,2.0,8.0,1.0
2022-07-06 23:59:00,9.495,10.461,9.37,10.262,ENS-USDT,0.08043798694462012,1,0,0.9999999982936032,0.0811234817813766,-0.05442902875727956,142,23,0.8606060606060606,5.0,3.0,8.0,1.0
2022-07-07 11:59:00,46.23,50.15,45.71,49.33,COMP-USDT,0.06705602422669266,1,0,0.9999999995712118,0.06017161992465486,-0.045285495505294,119,48,0.7125748502994012,1.0,3.0,4.0,1.0
2022-07-08 23:59:00,5.909,7.675,5.819,7.475,UNFI-USDT,0.26480541455160744,1,0,0.9999999993312023,0.18587971610011225,-0.15011170278379063,73,94,0.437125748502994,6.0,1.0,7.0,1.0
2022-07-09 11:59:00,46.85,52.86,46.82,51.66,COMP-USDT,0.10266808964781204,1,0,0.9999999997023286,0.07907826616587173,-0.05200768901067426,137,30,0.8203592814371258,1.0,5.0,6.0,1.0
2022-07-09 23:59:00,75.2,83.18,73.66,81.8,AAVE-USDT,0.08791062641308689,1,0,0.9999999998170955,0.09917829161093085,-0.06563942437338409,126,41,0.7544910179640718,1.0,1.0,2.0,1.0
2022-07-12 11:59:00,11.977,12.254,10.782,11.032,AR-USDT,-0.0785935020462708,0,1,0.9999999982586392,0.09950010867202792,-0.06682433679574695,72,95,0.4311377245508982,1.0,2.0,3.0,1.0
2022-07-13 23:59:00,72.8,80.66,67.26,79.67,AAVE-USDT,0.09481929366497188,1,0,0.999999999877972,0.12516399895040695,-0.13321439189217527,146,23,0.863905325443787,7.0,17.0,24.0,1.0
2022-07-15 11:59:00,0.0911,0.15578,0.09011,0.1262599999999999,NKN-USDT,0.38564530289727705,1,0,0.9999999832084475,0.34184377587634596,-0.2061924085903428,112,57,0.6627218934911243,11.0,1.0,12.0,1.0
2022-07-15 23:59:00,90.91,94.5,86.78,90.38,AAVE-USDT,-0.0060486088199714905,0,1,0.999999999077083,0.07787766808229014,-0.04465314588100169,78,91,0.46153846153846156,4.0,6.0,10.0,1.0
2022-07-16 11:59:00,6.625,6.648,5.855,6.031,CVXBUSD,-0.0897977663748869,0,1,0.9999999907674363,0.10950462194832893,-0.0808710502461638,31,138,0.1834319526627219,5.0,1.0,6.0,1.0
2022-07-17 11:59:00,17.283,19.89,16.803,19.12,ETC-USDT,0.10641745269371006,1,0,0.9999999995833346,0.16120436251751286,-0.08316967203287169,92,77,0.5443786982248521,5.0,2.0,7.0,1.0
2022-07-17 23:59:00,17.29,17.71,16.27,17.39,TRB-USDT,0.00694846554719164,1,0,0.9999999972491176,0.08107328332371601,-0.06515058385669988,17,152,0.10059171597633136,10.0,4.0,14.0,1.0
