candle_begin_time,factor,symbol,µ±ÖÜÆÚÕÇµø·ù,¾»Öµ,±¸×¢,ÕÇµø·ù,Õñ·ù
2021-01-17 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,IOST-USDT,0.009529366075144097,1.2525456141049887,,-0.1116019976949673,0.1960633701392269
2021-01-18 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,ENJ-USDT,0.017692308208184793,1.2747060371545442,,-0.0142560142560143,0.1350502779074212
2021-01-18 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,CRV-USDT,0.010721935447181696,1.288373352999048,,-0.109994086339444,0.1834319526627218
2021-01-19 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,OCEAN-USDT,-0.0017008970855912908,1.2861819625177784,,-0.0467780272019013,0.1034220783510605
2021-01-19 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,GRT-USDT,0.006625122896933844,1.2947030760872782,,-0.0914863707605552,0.2005037620692995
2021-01-20 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,CRV-USDT,0.01645426359280111,1.3160064617756286,,-0.1161247511612474,0.1500664010624171
2021-01-20 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,LRC-USDT,-0.0024346786654549923,1.3128024089195427,,-0.1302152424151654,0.2090255180681623
2021-01-21 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,SKL-USDT,-0.0069979778640884005,1.3036154467220018,,0.0428800733776657,0.130767464993496
2021-01-21 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,ENJ-USDT,0.007577916139148044,1.3134941352549592,,-0.1582203188198905,0.202931309334031
2021-01-22 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,CTK-USDT,0.00613318163071308,1.3215500333573542,,-0.3172961411116645,0.5430984552446169
2021-01-22 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,SKL-USDT,0.0055987378179707115,1.3289490455074524,,-0.0106565830182183,0.2254464285714285
2021-01-23 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,CRV-USDT,0.0002726710286957701,1.3293114114107751,,-0.0180541624874623,0.100351229302559
2021-01-23 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,BEL-USDT,0.005303306005995045,1.3363611566027476,,-0.0197443265114642,0.1256236865894174
2021-01-24 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,CRV-USDT,-0.000349106134210575,1.3358946247254568,,-0.000468603561387,0.1060037523452157
2021-01-24 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,QTUM-USDT,9.525440531032991e-05,1.3360218745734924,,-0.0421212890129408,0.1134229890890637
2021-01-25 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,RSR-USDT,0.002899501779824565,1.3398956723767028,,-0.063486370157817,0.1186359614510844
2021-01-25 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,FTM-USDT,-0.0021058914126939055,1.337073997586339,,-0.024631667780161,0.1774116985179064
2021-01-26 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,COMP-USDT,0.004463829966645072,1.343042468564387,,-0.1415257998144189,0.2003146303093865
2021-01-26 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,FLM-USDT,0.006399512202894364,1.3516372852309702,,-0.0659142212189616,0.2073170731707316
2021-01-27 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,AXS-USDT,0.024335854884085073,1.3845305340602698,,-0.0211945652846216,0.1062184180674435
2021-01-27 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,SKL-USDT,0.0028491008284279307,1.3884752011518446,,-0.159205843790972,0.1884247986514329
2021-01-28 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,AXS-USDT,0.013404499328902864,1.4070870160538829,,-0.1021219750295431,0.1612525186068506
2021-01-28 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,AXS-USDT,0.004842422973754257,1.4139007265464936,,-0.023083877908374,0.151131625967838
2021-01-29 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,AKRO-USDT,0.009960071641543555,1.4279832790769271,,-0.0991337824831568,0.1646605681271063
