time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,上涨,下跌,Erbear_2,上涨数量,下跌数量,上涨比例,rank_Erbear_2,rank_sum,rank
2021-01-01 11:59:00,0.06057,0.06938,0.05969,0.06687,BLZ-USDT,34344508.0,2251399.21795,0.10474145052040496,1,0,-0.07512933578162556,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-01 23:59:00,164.06,168.99,130.04,135.79,XMR-USDT,956884.799,136789222.67637,-0.17226455348978975,0,1,-0.14710110268503337,22,56,0.28205128205128205,1.0,1.0,1.0
2021-01-02 11:59:00,135.72,137.98,128.19,134.46,XMR-USDT,474952.327,63167984.52554,-0.00979453568009414,0,1,-0.12477681382932916,23,55,0.2948717948717949,1.0,1.0,1.0
2021-01-02 23:59:00,0.35498,0.35928,0.30172,0.32786,GRT-USDT,71870260.0,24022494.11338,-0.07658076327277852,0,1,-0.1381357512663734,39,39,0.5,1.0,1.0,1.0
2021-01-03 11:59:00,0.32787,0.33031,0.282,0.3244,GRT-USDT,68010756.0,20707256.80815,-0.01055328493869323,0,1,-0.17427700229914522,57,21,0.7307692307692307,1.0,1.0,1.0
2021-01-03 23:59:00,0.32452,0.33758,0.29458,0.2998,GRT-USDT,105913940.0,33173182.80756,-0.07583230579531441,0,1,-0.10082821321499676,67,11,0.8589743589743589,1.0,1.0,1.0
2021-01-04 11:59:00,0.009878,0.011554,0.0077,0.008864,DOGE-USDT,15408901674.0,148546439.834962,-0.10256150653032292,0,1,-0.16965495697850158,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-05 11:59:00,3.5713,3.7864,3.1123,3.5008,SUSHI-USDT,22223359.0,75826677.3834,-0.020207108872096313,0,1,-0.09666778803659279,63,15,0.8076923076923077,1.0,1.0,1.0
2021-01-05 23:59:00,1.11431,1.24663,0.8595,0.91368,CTK-USDT,41097528.0,43046810.24487,-0.1800412815220318,0,1,-0.11010052370259561,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-06 23:59:00,2.0322,2.1578,1.6734,1.8753,SOL-USDT,32130164.0,61306773.2752,-0.07729777602834087,0,1,-0.18616323740865784,56,22,0.717948717948718,1.0,1.0,1.0
2021-01-07 11:59:00,1.8722,2.4226,1.8123,2.215,SOL-USDT,59499972.0,124942171.3102,0.18114435023729536,1,0,-0.14073339005965482,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-07 23:59:00,0.40378,0.40709,0.31375,0.34643,GRT-USDT,134588562.0,49213427.21205,-0.14222398296481542,0,1,-0.13125636982110375,14,64,0.1794871794871795,1.0,1.0,1.0
2021-01-08 11:59:00,1.2983,1.3458,0.99,1.3012,1INCH-USDT,24718926.0,30429255.3787,0.002002156168181113,1,0,-0.2539180305898902,40,38,0.5128205128205128,1.0,1.0,1.0
2021-01-08 23:59:00,0.37511,0.3866199999999999,0.3279,0.35072,LRC-USDT,44528871.0,15966719.79103,-0.06487135048660186,0,1,-0.13102612342296505,26,52,0.3333333333333333,1.0,1.0,1.0
2021-01-09 11:59:00,1.188,1.2821,1.11,1.2514,1INCH-USDT,17383629.0,20722767.7904,0.05389927572848241,1,0,-0.1264984018122645,70,8,0.8974358974358975,1.0,1.0,1.0
2021-01-09 23:59:00,450.56,590.0,445.0,576.54,BCH-USDT,1303474.663,665920157.49288,0.2801474343317716,1,0,-0.08847223681454523,58,20,0.7435897435897436,1.0,1.0,1.0
2021-01-10 11:59:00,0.15198,0.171,0.13915,0.1415799999999999,CVC-USDT,88182144.0,13755677.40311,-0.06836875699151213,0,1,-0.07363560453248745,13,65,0.16666666666666666,1.0,1.0,1.0
2021-01-10 23:59:00,15.252,23.821,14.942,22.1,ZEN-USDT,3664444.0,77791917.1406,0.4488952992853865,1,0,-0.14913710994331258,37,41,0.47435897435897434,1.0,1.0,1.0
2021-01-11 23:59:00,0.0088799999999999,0.0091989999999999,0.0066599999999999,0.008801,DOGE-USDT,4964923421.0,38891051.931914,-0.008784773060029227,0,1,-0.2852829393884456,39,39,0.5,1.0,1.0,1.0
2021-01-12 11:59:00,0.1212299999999999,0.15911,0.11615,0.14249,CVC-USDT,164055827.0,23518885.52511,0.17527218739689876,1,0,-0.1418837067545532,56,23,0.7088607594936709,1.0,1.0,1.0
2021-01-12 23:59:00,1.4736,1.5512,1.309,1.4487,SRM-USDT,9341293.0,13546691.8583,-0.015895659262278317,0,1,-0.11534382290928732,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-13 11:59:00,1.2902,1.6477,1.2184,1.5724,RUNE-USDT,13462128.0,19899889.0978,0.22061791647259743,1,0,-0.14291119724149795,71,8,0.8987341772151899,1.0,1.0,1.0
2021-01-14 11:59:00,0.040388,0.042148,0.037725,0.041594,RSR-USDT,506162869.0,20302678.477536,0.02952897205514704,1,0,-0.054970439518598285,45,34,0.569620253164557,1.0,1.0,1.0
2021-01-14 23:59:00,3.4236,3.5674,3.1741,3.2949,SOL-USDT,11632700.0,38916524.2527,-0.037648227116069855,0,1,-0.05992716232682716,51,28,0.6455696202531646,1.0,1.0,1.0
2021-01-15 11:59:00,0.014793,0.0249,0.014762,0.024541,IOST-USDT,9298210253.0,187281743.907092,0.6583997837545728,1,0,-0.1267561102254759,54,25,0.6835443037974683,1.0,1.0,1.0
2021-01-15 23:59:00,0.4883699999999999,0.49461,0.3860699999999999,0.43755,ALPHA-USDT,41132579.0,18057826.11903,-0.10406044597333974,0,1,-0.13622295896076558,17,62,0.21518987341772153,1.0,1.0,1.0
2021-01-16 23:59:00,0.16202,0.16282,0.14735,0.1526,CVC-USDT,46098432.0,7150723.5184,-0.05703516035345724,0,1,-0.064355659876601,15,64,0.189873417721519,1.0,1.0,1.0
2021-01-17 11:59:00,0.02083,0.020838,0.0167539999999999,0.0185,IOST-USDT,4638857242.0,84457964.121291,-0.11160199769496737,0,1,-0.16732709133066745,28,51,0.35443037974683544,1.0,1.0,1.0
2021-01-17 23:59:00,0.01852,0.02184,0.017465,0.020727,IOST-USDT,3602620616.0,70646321.161305,0.12037837837837828,1,0,-0.14062166792977912,66,13,0.8354430379746836,1.0,1.0,1.0
2021-01-18 11:59:00,10.323,10.9135,9.3252,10.0083,BAND-USDT,3374127.9,33839627.65196,-0.031835858146148976,0,1,-0.07006727947132464,55,24,0.6962025316455697,1.0,1.0,1.0
2021-01-18 23:59:00,0.019836,0.02035,0.0187139999999999,0.02035,IOST-USDT,1262893134.0,24499526.868037,0.02694792087202269,1,0,-0.07444674000518318,44,35,0.5569620253164557,1.0,1.0,1.0
2021-01-19 11:59:00,0.01604,0.0205,0.01556,0.01957,AKRO-USDT,195280709.0,3582694.69914,0.22007481296758113,1,0,-0.20490536284856273,46,34,0.575,1.0,1.0,1.0
2021-01-22 23:59:00,0.98423,1.05,0.96884,0.98451,CTK-USDT,11346723.0,11558890.47692,-0.0003147783351272748,0,1,-0.0751025809736351,64,17,0.7901234567901234,1.0,1.0,1.0
